Locality,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
North America,,1,16.51061,15.57316,15.21221,15.84003,15.64556,15.39713,15.74306,16.26736,16.37593,16.04463,15.70532,15.78621,15.82039,15.87405,15.81188,16.14103,16.22374,16.19086,16.17518,16.50336,16.03263,15.99167,16.05957,NA,NA,NA,15.93544,15.35355,14.1657,14.404,14.10799
Bermuda,,9.6974,8.37118,8.85151,9.29215,9.01366,8.81971,8.92133,12.47242,13.55089,16.40115,11.37762,9.4342,7.64124,8.85924,8.59873,8.49222,8.56713,8.48576,8.41177,8.34072,8.2704,8.17266,8.12408,8.66772,9.28157,9.84555,9.67819,11.22069,11.13345,10.48889,10.43019,8.62277
Canada,,18.60054,17.75447,16.79528,16.13133,16.87116,17.10267,16.3265,16.76957,17.77489,17.99047,16.93331,16.56568,16.98995,16.7669,16.88751,17.1346,17.31778,17.98046,17.97942,18.37695,18.43347,17.90751,17.93751,18.72113,19.03129,18.82256,18.28049,17.90028,17.28987,16.27159,16.23014,16.20857
Greenland,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.0146,9.29094,9.32872,9.2829,9.39577,9.56573,9.68576,9.67158,9.86254,10.0996,10.16945,10.19238,10.30623,10.42523,10.67161,10.42658,11.14759,11.24774,17.3671,10.67457
Mexico,,3.51635,3.80899,3.93829,3.55474,3.71789,3.65645,3.41004,3.46567,3.38525,3.48789,3.55841,3.58202,3.55632,3.53014,3.68294,3.46008,3.52397,3.64357,3.81513,3.68481,3.83178,3.74878,3.69907,3.74052,3.60164,3.74571,3.89624,4.08709,4.11798,3.78668,3.85905,3.92377
Saint Pierre and Miquelon,,24.5576,24.51945,22.23747,24.37603,23.54279,20.57802,27.77706,35.66011,37.09328,42.10084,41.267,39.14101,36.51928,19.92168,20.36869,13.40412,13.39367,9.41103,10.88418,10.8791,11.90201,10.97458,11.0439,12.12719,13.22927,13.33118,13.95285,14.61311,15.14135,14.84191,15.52454,15.56646
United States,,21.0169,20.25038,19.03965,18.77136,19.58841,19.35652,19.21265,19.69083,20.41053,20.54929,20.19355,19.7552,19.85596,19.96162,19.99587,19.97591,20.43421,20.45645,20.36231,20.34947,20.78149,20.19359,20.16045,20.17416,20.40395,20.30052,19.8525,19.99828,19.2064,17.6998,18.03902,17.59741
Central & South America,,1,2.08654,2.01608,1.91619,1.96023,1.93005,2.03211,2.04147,2.03058,2.04439,2.00701,2.03199,2.0109,2.08391,2.12216,2.20449,2.28502,2.36453,2.39156,2.36702,2.36717,2.38785,2.33557,2.34292,NA,NA,NA,2.55407,2.63641,2.55981,2.77267,2.79546
Antarctica,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,,5.94316,5.31906,7.15048,4.38845,5.00807,4.79425,5.01134,6.07718,6.13858,6.27569,6.58786,6.47919,6.42595,6.65209,6.8676,6.9265,6.79138,6.92679,6.79916,6.68572,6.78053,6.67918,6.59742,6.90701,7.39117,7.95871,7.95271,7.56368,7.79643,7.78122,8.32592,6.67278
Argentina,,3.27237,3.12587,3.28846,3.29651,3.43425,3.17729,3.324,3.48172,3.47855,3.45419,3.10762,3.24887,3.23571,3.48338,3.34391,3.39605,3.64627,3.60965,3.72575,3.79381,3.70631,3.40475,3.18886,3.4996,3.6356,3.87593,3.97031,4.20731,4.21006,4.14192,4.55757,4.65912
Aruba,,--,--,--,--,--,--,1.80473,1.82385,7.07877,9.17808,9.42537,9.55312,9.87176,9.49991,9.63367,10.91431,6.90875,10.6046,10.45293,10.32938,10.64226,10.52731,10.39058,10.85076,10.77037,10.81185,11.47427,10.47241,10.55948,10.08921,10.08551,8.44798
"Bahamas, The",,19.02207,19.98432,16.67081,12.27903,10.92985,9.7546,10.43167,11.40621,10.28607,11.63527,12.19418,10.35129,8.75784,9.01609,10.25238,11.98909,13.30685,12.99221,14.656,12.97048,12.38918,11.98369,11.85426,14.36936,14.45515,16.56251,16.38789,15.43739,16.66055,11.71529,11.61905,11.62832
Barbados,,3.84208,4.0716,4.03003,4.23125,4.05897,4.45646,5.01528,4.71686,4.46331,4.78146,4.96294,4.97988,5.10179,5.10153,4.77133,4.99114,3.91022,5.34821,5.43988,5.55033,6.23282,5.99957,5.97255,6.05622,4.15166,5.45823,5.2921,4.86366,5.26249,5.30649,4.94272,5.03252
Belize,,1.56146,1.38365,1.25842,1.24211,1.31441,1.27635,1.53585,1.18354,0.83188,1.17308,1.64069,1.78661,1.51376,1.4591,1.34637,1.51644,1.21625,1.9182,1.8667,1.84392,2.66016,3.39037,3.09191,3.16762,3.29896,3.43529,3.36187,3.4914,3.44883,1.5222,1.49356,1.47183
Bolivia,,0.82019,0.83896,0.72258,0.78258,0.72882,0.63772,0.6361,0.60564,0.66483,0.74719,0.7709,0.73197,0.90492,0.95668,1.12927,1.03809,0.96723,1.03488,0.96219,1.08942,1.1295,0.96069,1.09671,1.34183,1.31872,1.27421,1.38448,1.37534,1.45843,1.33037,1.36336,1.42842
Brazil,,1.5336,1.41349,1.36143,1.26171,1.36203,1.41941,1.5348,1.55044,1.53686,1.54474,1.58847,1.61697,1.53696,1.64347,1.68755,1.78546,1.86582,1.95066,1.91418,1.9539,1.97592,1.97133,1.93422,1.91069,1.93513,1.99309,2.04033,2.10957,2.22453,2.09754,2.35585,2.412
Cayman Islands,,5.72532,5.89228,5.69716,5.37252,5.28521,5.21491,5.13294,4.94654,10.85429,10.7642,10.41131,10.70764,10.54926,9.54509,9.96869,10.39705,10.10006,9.75481,9.60732,9.3009,8.93199,8.74486,8.49279,8.55639,8.94678,9.17614,10.1595,11.31784,10.14521,11.27983,11.09383,10.45929
Chile,,2.17633,2.09084,1.7387,1.71924,1.758,1.69516,1.61625,1.66058,1.91706,2.3224,2.44931,2.3033,2.3389,2.43359,2.6338,2.83304,3.15973,3.6879,3.66825,3.96769,3.60081,3.52404,3.40876,3.62206,3.88989,4.06317,4.26706,3.74731,3.98055,4.36752,4.63337,4.64052
Colombia,,1.48915,1.5055,1.50096,1.50871,1.56864,1.52123,1.48403,1.37289,1.48511,1.46691,1.24972,1.41413,1.55402,1.56487,1.50009,1.47857,1.53343,1.66919,1.68752,1.49719,1.49705,1.45073,1.392,1.41538,1.3645,1.44862,1.45235,1.41936,1.46355,1.45326,1.50342,1.57816
Costa Rica,,0.98627,0.95979,0.87438,0.90343,0.76864,0.78864,0.73201,0.82795,0.9453,0.97833,0.90599,0.93539,1.1504,1.22073,1.20398,1.36902,1.26389,1.23472,1.34653,1.35144,1.28913,1.32006,1.34008,1.45516,1.3778,1.35984,1.55397,1.67029,1.62408,1.55524,1.55931,1.45753
Cuba,,3.10176,3.14068,3.37612,3.05382,3.13998,3.17874,3.44794,3.37023,3.40697,3.48694,3.36744,3.06789,2.70316,2.66362,2.6969,2.84337,2.77633,3.06763,2.97095,3.0211,2.96794,2.99509,3.06433,2.97691,2.96053,2.55288,2.25387,2.36102,2.61236,2.63331,2.5266,2.51431
Dominica,,0.36258,0.4758,0.47444,0.47088,0.47315,0.5459,0.55569,0.60391,0.77771,0.83138,0.83589,0.83356,0.8408,0.88385,1.0128,1.13426,1.14359,1.15474,1.20358,1.19833,1.12373,1.43004,1.55716,1.6847,1.50195,1.28111,1.62747,1.67526,1.75263,1.78443,1.78523,1.93159
Dominican Republic,,0.95408,0.89592,0.93507,1.1047,0.94723,1.03915,1.05365,1.21366,1.25825,1.17417,1.27918,1.27639,1.40427,1.22599,1.29652,1.4203,1.47051,1.522,1.54934,1.72495,1.86537,1.92566,1.95725,2.19689,2.00559,1.90288,1.97498,2.02477,2.0216,1.87063,1.89746,2.07933
Ecuador,,1.61408,1.65081,1.74257,1.50267,1.45099,1.49296,1.58899,1.4244,1.4954,1.38615,1.46225,1.52211,1.74277,1.54528,1.63444,1.71204,1.71203,1.70919,1.78021,1.59472,1.61345,1.70401,1.69369,1.71559,1.76003,1.80456,1.90782,1.87564,1.88905,2.08691,2.36901,2.31433
El Salvador,,0.43587,0.38243,0.36857,0.40403,0.40236,0.41461,0.45958,0.44523,0.46911,0.44307,0.46787,0.52972,0.60923,0.60626,0.67177,0.84874,0.7891,0.83105,0.95966,0.94704,0.94177,0.96914,0.97703,1.02692,1.01487,1.04271,1.04419,1.05727,0.98758,0.98373,0.98038,1.04576
Falkland Islands (Islas Malvinas),,5.84,5.755,5.755,5.755,5.77,7.21,7.99,7.99,15.855,14.165,12.595,12.595,12.72,12.72,12.725,14.305,15.89,14.38683,11,10.21429,10.03509,9.8791,10.84642,10.69697,11.80135,12.83838,13.90236,16.05387,14.57962,15.17177,15.17961,14.51254
French Guiana,,4.99871,4.318,5.49129,4.88237,3.89863,3.48756,4.27322,4.336,4.67418,5.24264,5.70767,6.45425,4.86546,6.68315,6.20607,6.45587,6.45453,6.05075,5.78871,5.64399,5.5746,5.43516,5.42577,5.52319,5.25247,5.22677,5.35859,5.0277,4.82233,3.66774,4.2872,4.54429
Grenada,,0.5073,0.5689,0.63064,0.60869,0.6293,0.63981,0.74128,0.75576,0.82144,0.85459,1.30769,1.30821,1.34667,1.46338,1.69437,1.57904,1.69806,2.11273,1.89899,1.88771,1.1619,1.96571,2.27063,2.30497,2.3281,2.36921,2.47543,2.46848,2.69232,2.52548,2.50744,2.51279
Guadeloupe,,1.44003,2.02947,2.56088,2.66188,2.8944,2.61667,2.61832,3.01355,3.27501,3.51174,3.69785,3.77548,3.44547,3.98258,4.06253,4.13313,4.067,4.08317,4.04861,4.01529,4.19329,4.22179,4.26029,4.38526,4.47993,4.62812,4.84056,5.42405,5.10438,4.57358,4.54064,4.62529
Guatemala,,0.62502,0.5289,0.50574,0.5096,0.43573,0.47771,0.41278,0.39699,0.41271,0.4102,0.42207,0.38798,0.46494,0.50337,0.55659,0.60579,0.61501,0.66265,0.79228,0.7971,0.81729,0.88684,0.89233,0.88628,0.89062,0.91021,0.89365,0.92158,0.84014,0.88356,0.79462,0.90572
Guyana,,1.87196,2.15173,1.73374,1.53628,1.75429,1.77393,1.82977,1.38875,1.37436,0.90708,0.87293,1.03002,1.14872,1.50556,1.50361,1.26099,1.34623,1.46623,1.8579,1.96269,2.14541,2.20152,2.24527,2.19166,1.97106,2.17759,2.07431,2.08556,2.00557,2.18103,2.1865,2.25554
Haiti,,0.15427,0.10071,0.13997,0.122,0.12156,0.13649,0.13029,0.20154,0.21854,0.18769,0.10933,0.11413,0.12487,0.08591,0.073,0.12389,0.14386,0.18266,0.16527,0.17956,0.18045,0.1927,0.19595,0.19166,0.19321,0.1911,0.19276,0.20927,0.20807,0.23005,0.22068,0.21499
Honduras,,0.49899,0.42637,0.41827,0.43126,0.4232,0.38517,0.40954,0.3911,0.43389,0.50963,0.56888,0.54032,0.53886,0.5202,0.55712,0.62514,0.68148,0.65109,0.72131,0.7858,0.72062,0.81406,0.89072,0.8745,0.99734,1.01112,1.01339,1.09908,1.03082,0.9205,0.94283,0.98622
Jamaica,,3.49488,2.96495,2.46121,2.60668,2.16488,1.93917,2.09383,2.24465,2.62096,3.02048,3.21155,3.31822,3.58225,3.58666,3.63938,4.03462,4.02957,4.16143,4.25542,4.33323,4.14003,4.12887,4.1851,4.30626,4.28204,4.10725,4.56005,4.75712,4.47688,3.28616,2.84743,3.35296
Martinique,,1.94653,1.93072,1.91213,1.86692,1.64282,1.97924,2.20991,2.46539,2.9356,4.09625,4.36377,3.59156,4.03071,5.4847,5.36173,5.43171,5.41419,5.37068,5.34351,5.30862,5.34177,5.31126,5.34317,5.54708,5.70028,5.97021,5.98468,6.1717,6.10326,6.61744,6.58924,6.83269
Montserrat,,1.43415,1.64334,1.66095,1.67561,1.69551,1.85287,1.96698,2.27113,2.58364,2.61314,3.52256,3.26796,3.94188,3.97655,4.00542,4.6455,5.5996,8.01176,15.03401,15.04737,13.67249,12.74357,11.23285,13.44021,13.44147,15.42826,16.48649,18.39982,18.23495,16.32816,16.3067,17.12307
Netherlands Antilles,,68.77983,63.08354,59.63223,54.51982,51.03186,42.60078,54.76878,55.95672,50.7888,52.38209,51.61542,48.42983,49.73833,47.55788,49.02765,57.35492,56.69994,59.20945,58.36403,56.28512,55.27312,55.15693,50.33452,49.80109,49.89723,49.13978,54.02841,48.40131,47.0003,53.75608,54.33684,52.73025
Nicaragua,,0.65736,0.6586,0.64221,0.59778,0.55794,0.62023,0.64578,0.62839,0.62167,0.60268,0.55212,0.50151,0.5853,0.55397,0.58793,0.63074,0.64985,0.65651,0.73948,0.78292,0.76098,0.7966,0.80471,0.80386,0.85171,0.87266,0.89126,0.87109,0.82228,0.81085,0.79716,0.85103
Panama,,2.75312,2.62137,2.32079,2.41078,2.30674,1.66492,5.09507,5.19601,4.9111,4.74845,4.92959,4.84768,4.91515,4.74088,5.23154,5.47679,4.61685,4.65627,4.9974,4.58682,4.46195,4.55764,4.22224,4.1302,4.55927,4.69687,4.63962,4.6542,4.5268,4.72314,5.54627,4.96563
Paraguay,,0.437,0.39202,0.3744,0.38451,0.40809,0.40149,0.40696,0.50067,0.43518,0.56604,0.52298,0.46808,0.52309,0.54021,0.61753,0.69205,0.54483,0.58211,0.64878,0.71764,0.65717,0.62525,0.63938,0.65182,0.64384,0.62275,0.61205,0.61061,0.61701,0.65082,0.69838,0.61847
Peru,,1.26219,1.28273,1.43935,1.29383,1.20237,1.17783,1.28661,1.21635,1.19844,1.01427,0.93185,0.85743,0.89541,0.96913,0.99161,1.03634,1.05882,1.02714,1.03798,1.04682,1.04348,0.99818,0.98846,0.9875,1.09025,1.14033,1.21773,1.20276,1.28005,1.29316,1.53605,1.44334
Puerto Rico,,8.99735,9.58028,6.92049,6.65917,7.27602,6.22993,6.72902,6.9941,6.21873,5.83489,5.71835,6.74346,6.51094,6.77118,6.92072,6.59102,6.50093,6.64193,7.27564,6.93149,7.27328,9.0451,9.2122,9.78716,9.98207,9.88973,9.95122,9.03315,9.13906,7.75124,7.44114,7.21876
Saint Kitts and Nevis,,1.15995,1.22781,1.42017,1.16748,1.17295,1.17421,1.25231,1.33366,1.56668,1.57744,1.58717,1.82453,1.83713,2.04146,2.38846,2.13971,2.40581,2.37893,2.34963,2.32235,2.29576,2.26942,2.24547,2.49284,2.73959,2.85091,3.75021,5.29811,5.56701,5.45751,5.13697,5.42578
Saint Lucia,,0.91291,0.70793,0.84292,0.76235,0.75295,0.92416,0.93223,0.99411,1.23805,1.2288,1.21786,1.20276,1.24489,1.2065,1.33495,1.33785,1.32211,1.37194,1.35954,1.34978,2.16879,2.25641,2.28511,2.48763,2.35891,2.38773,2.38807,2.57706,2.69963,2.57524,2.69179,2.59339
Saint Vincent/Grenadines,,0.38649,0.35262,0.3778,0.37238,0.34025,0.38323,0.37943,0.40561,0.4838,0.71186,0.72748,0.70071,0.76573,0.70428,1.12116,1.15395,1.15365,1.22957,1.51,1.51399,1.54662,1.57985,1.6593,1.73902,1.8521,1.87273,1.81965,1.86246,2.15508,1.86934,1.93337,1.9317
Suriname,,5.90784,5.00245,4.33926,3.07302,2.52554,3.15573,3.29775,2.88325,2.73138,2.88747,3.62166,3.56755,3.42314,3.55336,3.51608,3.53209,3.45247,3.46136,3.43154,3.36896,3.46818,3.59565,3.72367,3.75516,3.85423,3.91405,3.96511,3.83174,3.68515,3.81049,4.97972,3.95455
Trinidad and Tobago,,9.68178,9.12103,8.76059,13.11493,13.73458,15.01674,13.88898,13.85884,13.89637,13.96829,14.48805,14.76717,13.77475,15.23892,17.18617,17.89575,19.1731,20.3983,20.30351,20.93014,21.97729,24.02612,24.79294,23.96865,26.27311,31.73713,38.23321,37.8348,40.24586,38.88591,43.00937,42.49755
Turks and Caicos Islands,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82167,0.59983,0.56021,0.51461,0.46539,0.4048,2.15594,2.06715,4.03319,4.53224,3.58356
Uruguay,,1.96573,1.76209,1.65771,1.30265,1.22813,1.14288,1.13796,1.30733,1.54267,1.59044,1.45827,1.36873,1.45381,1.5841,1.48492,1.48038,1.5637,1.64296,2.00347,2.26554,2.02471,1.53126,1.65661,1.71047,1.8533,1.92576,2.25309,2.14492,2.43472,2.75092,2.47929,2.53043
Venezuela,,6.38312,6.69457,6.5046,5.97439,5.81113,5.67144,5.97862,5.90215,5.66218,5.73017,5.67793,5.63289,5.5182,5.48736,5.65209,5.77326,6.06932,6.03526,6.25413,5.56124,5.72298,6.23622,6.06399,5.44478,5.75722,5.77296,5.87143,5.86662,6.12514,5.87584,6.32693,6.19198
"Virgin Islands,  U.S.",,170.01335,151.59334,109.92755,77.13945,89.50239,100.44819,65.98808,78.68376,52.0905,76.88018,71.68126,75.99151,78.9164,78.77505,77.91819,79.31139,78.87388,76.50233,80.57336,81.76629,90.53988,125.81145,120.66511,134.88652,163.62649,144.8226,153.98747,137.28122,120.77588,142.54759,135.99072,130.01637
"Virgin Islands, British",,2.01582,3.06251,2.93327,2.85272,2.5224,2.48426,2.77089,3.12575,3.23161,3.32761,3.2114,3.09749,3.1846,3.05948,2.94457,2.83646,3.05978,2.95407,2.85633,2.76741,2.68248,2.60225,2.53133,2.85481,3.53819,3.68433,3.81106,4.04807,4.19754,3.93577,5.96955,3.86834
Europe,,1,8.4473,8.25044,8.16817,8.23244,8.38255,8.41862,8.46846,8.31901,8.37002,8.14947,7.94462,7.66302,7.60241,7.46864,7.56252,7.77641,7.76572,7.72114,7.60001,7.67839,7.73525,7.66425,7.83117,NA,NA,NA,7.75046,7.58631,7.05822,7.20958,7.12006
Albania,,3.31607,3.2559,3.17534,3.2035,3.18732,3.1482,3.0885,2.86533,2.91952,2.56758,1.87206,1.37999,1.23047,0.92017,0.72609,0.74193,0.61394,0.59617,0.71467,0.92401,1.03284,1.14144,1.21248,1.37395,1.42854,1.52838,1.51401,1.46659,1.46519,0.94408,1.27174,1.36126
Austria,,7.39585,7.20309,6.7481,6.76093,7.19617,7.28446,7.11375,7.2522,6.93313,6.93096,7.21331,7.69998,7.19409,7.30688,7.19825,7.36463,8.05273,7.97252,8.32194,7.9996,7.8683,8.32811,8.67182,9.07955,9.24087,9.58495,9.12124,8.67022,8.52987,7.94911,8.52625,8.43828
Belgium,,13.482,13.64762,12.79376,11.35207,11.78556,11.84329,12.04619,11.96626,11.67045,12.12416,12.3354,12.74992,12.22156,12.33283,13.3747,14.01352,14.15816,14.48013,15.06563,14.18149,14.49317,14.75323,13.97066,14.77513,15.14226,14.84945,14.02909,13.74259,14.75716,12.93526,13.73996,13.43295
Bosnia and Herzegovina,,--,--,--,--,--,--,--,--,--,--,--,--,4.59449,3.9776,1.37914,2.49629,1.26864,2.64332,3.25569,3.14062,3.97494,3.86732,4.1581,4.19749,4.42184,4.75531,4.9059,4.79542,5.41626,5.55138,5.92087,7.08528
Bulgaria,,10.01366,9.74583,10.05154,10.04005,10.12023,10.34503,10.81777,10.71813,10.27826,9.42245,8.56625,6.47479,6.65154,6.1655,6.10822,6.30806,6.56645,6.70479,6.25485,5.66492,6.27048,6.76747,6.26015,6.80763,6.79973,7.01343,7.16343,7.08729,6.96906,6.20966,6.4384,7.41016
Croatia,,--,--,--,--,--,--,--,--,--,--,--,--,3.68988,3.77675,3.94131,4.08002,3.90611,4.20858,4.49405,4.559,4.55757,4.5597,4.70705,4.97771,4.81861,4.66628,4.98147,4.81237,4.8406,4.46531,4.22781,3.97683
Cyprus,,4.4891,3.82263,4.03263,4.38144,4.459,4.72104,5.16471,5.71907,5.62992,6.71444,6.82934,6.69581,7.6561,7.5933,8.32191,7.99387,7.78837,7.68523,8.12981,8.71053,8.1893,8.78601,8.55877,8.40618,8.70915,8.73946,9.08253,8.94837,9.20739,8.50457,8.08429,7.79205
Czech Republic,,--,--,--,--,--,--,--,--,--,--,--,--,--,11.30997,10.67112,10.75281,11.30173,9.64831,9.20735,8.32788,9.21072,9.31305,9.02289,9.11067,8.81218,9.91493,10.13149,10.12298,9.69587,9.01871,9.36982,9.25921
Denmark,,12.68137,11.77563,10.83229,10.0662,10.65881,12.39188,12.66344,12.53684,11.53559,11.52023,11.1083,12.44624,11.85062,11.40609,12.43219,13.2271,13.77326,14.13452,11.32485,10.82376,10.21049,10.46428,9.88694,11.43736,10.40229,9.54806,10.92784,10.17409,9.46382,8.8778,8.99061,8.19344
Faroe Islands,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.83068,13.30324,13.95448,14.95831,15.35375,15.22407,14.83662,14.65411,14.71459,14.46362,14.23219,14.18422,14.25947,14.34368,16.28016,14.66188,14.377,14.8327,14.92674,15.6764
Finland,,11.5786,10.85265,9.70954,9.10688,8.76623,9.54808,10.23872,10.32539,9.95085,10.41799,10.67492,10.22244,9.81705,10.3464,11.40486,9.76508,10.36089,10.49085,9.74612,9.29916,9.69746,10.2503,10.31396,12.80803,11.78702,9.94057,11.62063,11.40236,10.2232,9.70232,10.90107,9.81307
Former Czechoslovakia,,13.67585,13.53664,13.44766,13.5454,13.86761,13.65242,13.39787,13.64745,13.19904,12.98298,12.611,11.07516,10.26439,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,,--,--,--,--,--,--,--,--,--,--,--,--,4.44311,3.79095,3.65919,2.9654,4.78391,4.8837,5.1852,3.98953,4.58586,4.76002,5.27458,5.65143,5.73992,5.45831,--,--,--,--,--,--
Former Yugoslavia,,4.86622,5.2615,5.36517,5.57713,6.44538,6.70424,6.57487,6.63035,6.69735,6.69249,6.54719,5.82987,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
France,,8.86311,8.00166,7.59215,7.2964,7.01021,7.01472,6.38779,6.22794,5.93584,6.3068,6.31154,6.70239,6.4808,6.21861,6.06649,6.22736,6.4974,6.36337,6.75162,6.61797,6.557,6.58436,6.48328,6.55386,6.55591,6.56469,6.46789,6.64842,6.56429,5.98286,5.93755,5.73271
Germany,,--,--,--,--,--,--,--,--,--,--,--,11.61417,11.10517,11.00592,10.75168,10.90973,10.87177,10.82408,10.60551,10.22098,10.39936,10.66541,10.37287,10.31097,10.28795,10.11159,10.16997,9.87778,9.90194,9.26441,9.7613,9.62759
"Germany, East",,17.75595,17.77937,17.96471,17.70123,18.65271,19.61831,19.25591,19.42521,19.47361,19.01409,18.00073,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Germany, West",,12.36376,11.71366,11.33337,11.37357,11.64624,11.2978,11.77799,11.52949,11.34881,10.87864,11.05852,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,,16.95667,18.72481,16.91382,13.6024,12.6524,28.679,49.38151,49.26578,62.63929,52.92491,57.41773,61.34078,110.16091,118.05908,120.60276,120.88284,121.31942,121.03829,139.00082,121.28569,267.50568,141.5797,142.8616,146.23813,150.83536,153.79602,157.11232,161.5519,158.54744,168.90698,307.51572,164.16423
Greece,,5.38978,5.40321,5.22546,5.53481,5.6492,6.10904,6.40024,6.98984,7.49263,7.78736,8.04553,7.94246,7.70774,8.0223,8.12365,8.20864,8.27581,8.68107,9.21919,9.07727,9.59244,9.74535,9.65631,9.99294,9.87644,9.87305,9.89179,10.22456,9.88932,9.29708,8.70187,8.55788
Hungary,,7.84589,7.74913,7.7463,7.61975,7.70697,7.81655,7.2707,7.2473,6.93243,6.86072,6.40507,6.33195,5.85154,5.6848,5.66864,5.60949,5.77814,5.74405,5.66246,5.72698,5.45483,5.66398,5.68135,5.90563,5.76314,5.91578,5.88678,5.66457,5.58995,5.18653,5.25487,5.22968
