Locality,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Iceland,,7.2242,6.74154,6.64962,6.82788,7.05877,7.64272,8.07216,8.31901,8.49819,8.95286,9.26666,8.63677,8.95172,9.39131,9.57374,9.2801,10.36859,10.41855,11.0029,10.74127,11.29565,10.6658,11.00243,10.95269,11.2846,11.17907,11.37887,12.67498,12.20816,10.81947,12.33021,11.5419
Ireland,,6.30358,5.99192,5.7963,5.57581,5.41392,5.65282,6.70517,6.89668,6.63477,7.02945,7.33547,7.59538,7.75263,7.86691,8.16376,8.39248,8.76335,9.18601,9.84804,10.29156,10.81672,11.20221,10.74782,10.45463,10.6233,10.57528,10.64636,10.29814,9.93195,8.49815,8.55979,7.75152
Italy,,6.58602,6.47298,6.285,6.11645,6.18599,6.44837,6.54979,6.90942,7.00108,7.27365,7.3247,7.34276,7.29412,7.22061,7.05857,7.53012,7.37819,7.37623,7.65937,7.64248,7.74827,7.67821,7.77983,8.09489,7.98633,7.99294,7.88701,7.70676,7.48442,6.74197,6.91059,6.74506
Kosovo,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.50368,4.00818,5.14537,4.13963
Luxembourg,,31.94798,27.52786,25.74064,24.16313,26.63265,26.64201,26.33031,24.73925,25.7307,27.50333,27.95276,29.30585,28.61115,29.877,27.15668,21.69133,21.71704,20.51231,18.7797,19.66566,20.56205,21.53881,23.09054,24.04501,26.57912,26.9284,26.24788,25.28934,24.61103,23.25607,24.32618,23.10506
Macedonia,,--,--,--,--,--,--,--,--,--,--,--,--,4.93849,5.11163,4.64081,4.76368,5.02155,4.94879,5.43683,4.95836,4.17819,4.10561,3.99891,4.09713,4.05921,4.04412,3.96673,4.05215,4.35727,4.07022,3.86497,4.18193
Malta,,3.45857,3.78464,4.15426,3.10707,4.50855,3.96104,4.66954,5.18046,5.88233,6.36192,6.60483,6.59139,6.47985,7.48678,7.36196,6.67193,6.87461,7.27993,7.51844,8.52444,7.47317,6.30485,7.45936,7.40104,7.51519,7.73906,7.35179,7.72527,7.87288,16.49286,19.74146,18.41715
Montenegro,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.56163,2.36114,3.18166,2.30581,4.12695,25.5441
Netherlands,,14.20651,13.55573,12.68327,12.10798,12.74186,13.18176,13.39224,13.67161,13.79677,13.66892,14.10646,14.49523,13.98597,14.52844,14.42491,14.38416,14.67083,15.24058,15.11675,14.8947,15.47027,16.30616,15.74396,15.88543,16.26311,15.40224,15.24049,14.27448,13.98695,13.51882,14.13734,14.39552
Norway,,8.21651,7.59976,6.974,7.131,7.41374,8.16974,8.75262,8.23842,8.08368,8.52012,8.1999,7.59315,8.32214,7.9199,8.32241,8.68629,9.0938,9.47702,9.47293,9.87535,9.16332,9.19557,9.35028,9.97963,10.51896,9.15708,8.90162,9.1098,8.61857,9.59481,9.31872,8.87731
Poland,,12.05649,10.76845,10.77002,10.69425,11.07709,11.33738,11.40609,11.6814,11.35167,10.87123,8.7564,8.61125,8.5424,8.80331,8.34938,7.98326,8.91611,8.70671,8.11643,8.44249,7.56875,7.153,7.13438,7.3774,7.57341,7.45861,7.75883,7.68334,7.6544,7.44409,7.91935,8.01486
Portugal,,2.40986,2.14115,2.78242,2.84032,2.7376,2.95113,3.16914,3.28616,3.42949,4.33402,4.42571,4.47093,4.79419,4.59885,4.63841,5.04944,4.79421,5.16397,5.49545,6.16932,6.14773,5.88336,6.32429,5.90285,6.02301,6.25271,5.68175,5.55365,5.25794,5.33252,4.95742,4.94078
Romania,,7.72248,7.80065,8.02587,8.31237,8.05562,8.11395,8.31131,8.48836,8.36881,8.6137,7.7014,5.94333,5.69514,5.40969,5.14387,5.44953,5.59359,5.33392,4.46654,4.05653,4.15539,4.55054,4.47072,4.46988,4.50837,4.37612,4.48289,4.36448,4.2553,3.68755,3.55675,4.08505
Serbia,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.41085,6.14584,6.95576,6.73944,6.7095,6.00176
Slovakia,,--,--,--,--,--,--,--,--,--,--,--,--,--,8.05214,7.51919,7.94014,8.1627,7.70549,7.1812,6.90399,6.74017,7.33106,7.22855,7.26745,7.04924,7.29184,7.53018,6.88263,7.02143,6.43946,6.75643,6.39849
Slovenia,,--,--,--,--,--,--,--,--,--,--,--,--,6.24621,6.74116,6.54654,7.62963,8.41315,8.29534,8.08588,8.15737,7.79795,7.99103,8.21607,8.34986,8.35732,8.51058,8.49576,8.42671,8.67657,8.03405,8.09273,7.99669
Spain,,5.20151,5.43646,5.81672,5.90801,5.49021,5.32099,5.14725,5.17792,5.17657,5.65078,5.69585,6.00596,6.11371,5.81819,5.96558,6.12045,5.96128,6.64901,6.86763,7.42005,7.77659,7.80287,8.11145,8.18442,8.53137,8.7617,8.486,8.55678,7.72592,7.08066,6.72146,6.8064
Sweden,,9.90276,8.75491,7.59708,7.12947,6.86465,7.40196,7.83469,7.60477,7.26282,6.81632,6.63632,6.51542,6.76526,6.90759,7.33252,7.22801,7.57476,7.38881,7.43367,7.26797,6.79711,6.73821,6.37741,6.77315,6.71797,6.39769,6.38331,6.29889,6.04877,5.72203,6.22123,5.94618
Switzerland,,7.39497,6.20102,5.71632,6.12357,6.07337,6.25338,6.69056,6.41042,6.34585,6.21091,6.35367,6.51634,6.53935,6.16263,6.01508,6.15869,6.25615,6.10623,6.3472,6.37285,6.24404,6.27873,6.03209,6.10396,6.1296,6.14233,6.0695,5.79845,5.94705,5.7069,5.87112,5.34059
Turkey,,1.52269,1.36466,1.54363,1.61301,1.64535,1.82575,2.02769,2.06045,1.9034,2.16289,2.28915,2.38146,2.35065,2.41764,2.29925,2.47319,2.68353,2.84382,2.82513,2.74108,2.99908,2.6925,2.7999,2.92034,2.93899,3.17718,3.40392,3.74748,3.60056,3.50317,3.45158,3.74319
United Kingdom,,10.89549,10.62961,10.15324,10.2484,9.99653,10.4139,10.4887,10.65805,10.49823,10.6917,10.48279,10.59478,9.99436,10.07046,9.86532,9.62647,10.0927,9.6899,9.57402,9.45334,9.47479,9.64549,9.42384,9.57107,9.70311,9.63943,9.62251,9.30451,9.14744,8.32608,8.49181,7.78824
Eurasia,,1,11.59533,11.91602,12.03768,12.41263,12.70734,13.06236,13.12666,13.33,13.01837,13.20433,12.11571,10.95447,10.00643,8.83359,8.48297,7.92932,7.37971,7.29404,7.58635,7.76219,7.61083,7.87809,8.19488,NA,NA,NA,8.60536,8.82901,7.69208,8.56108,8.84361
Armenia,,--,--,--,--,--,--,--,--,--,--,--,--,3.29607,2.06409,2.07056,2.31183,2.61601,2.43139,2.56689,2.54533,2.75757,2.8204,2.72832,2.95903,3.01331,3.42774,3.43935,3.79364,3.73157,3.37249,1.54915,3.87431
Azerbaijan,,--,--,--,--,--,--,--,--,--,--,--,--,7.79267,8.42997,7.56462,7.26592,6.39946,6.26154,5.75535,5.82604,5.23879,5.6691,5.39147,4.59903,4.7947,4.99287,4.93548,4.26632,4.7393,3.70237,3.5572,3.43011
Belarus,,--,--,--,--,--,--,--,--,--,--,--,--,8.95077,7.85527,6.45584,6.10918,5.95794,5.80952,5.62359,5.77963,5.98522,5.40009,5.11925,5.62038,5.56257,6.56041,6.80367,6.79289,6.8938,6.30307,6.62316,7.0105
Estonia,,--,--,--,--,--,--,--,--,--,--,--,--,4.78313,3.68954,3.72642,3.72328,3.92138,4.4662,5.33874,4.25118,4.12266,4.43612,4.50285,4.6375,5.14466,4.58904,4.94623,4.92003,4.83059,4.01959,4.2391,4.31386
Former U.S.S.R.,,11.58629,11.59533,11.91602,12.03768,12.41263,12.70734,13.06236,13.12666,13.33,13.01837,13.20433,12.11571,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Georgia,,--,--,--,--,--,--,--,--,--,--,--,--,2.8998,1.47424,0.97415,1.08046,1.15162,0.59581,1.22838,1.0018,0.96938,0.85238,0.91223,0.80098,0.88431,1.03977,1.05555,1.23073,1.24933,1.41523,1.39371,1.28733
Kazakhstan,,--,--,--,--,--,--,--,--,--,--,--,--,15.42605,13.3889,10.073,8.90503,8.78065,7.48116,7.40375,8.54861,8.60023,9.01975,9.179,8.73684,10.55294,10.79369,11.55528,11.52517,11.8123,10.24893,11.01727,11.95401
Kyrgyzstan,,--,--,--,--,--,--,--,--,--,--,--,--,3.05424,2.27375,1.85677,1.19973,1.51159,1.5218,1.60661,1.52561,1.44633,1.31198,1.15959,1.02575,1.1238,1.02897,1.00293,0.98614,1.10172,1.54864,1.35794,1.58856
Latvia,,--,--,--,--,--,--,--,--,--,--,--,--,4.87479,3.58928,3.47312,3.74318,4.03257,3.49249,3.42396,3.12196,3.10432,3.25214,3.17981,3.3884,3.55004,3.75998,4.06112,3.81276,3.57672,3.54928,3.85677,3.65131
Lithuania,,--,--,--,--,--,--,--,--,--,--,--,--,6.28333,4.77503,5.02234,4.80063,4.32686,4.46047,4.75987,3.74924,3.63184,3.57111,3.66037,3.75439,3.71236,4.35392,4.62532,4.99044,5.08217,3.76567,3.92924,4.29685
Moldova,,--,--,--,--,--,--,--,--,--,--,--,--,4.69075,3.41051,2.52758,2.06514,2.1698,2.06373,1.87893,1.43356,1.40858,1.40775,1.5505,1.71915,1.6391,1.73191,1.84277,1.78796,1.92031,1.75581,1.78658,1.79383
Russia,,--,--,--,--,--,--,--,--,--,--,--,--,13.6091,12.54868,11.36328,10.7763,10.13537,9.40607,9.34495,9.87773,10.192,9.85593,10.31251,10.72276,11.10844,11.07683,11.46124,11.07904,11.44076,10.38206,11.82283,11.99805
Tajikistan,,--,--,--,--,--,--,--,--,--,--,--,--,1.44687,0.94183,0.91579,0.63351,0.81656,0.81237,0.85619,0.90695,0.95571,0.97471,0.93891,1.01593,1.063,1.08953,1.06825,1.02129,0.9529,0.33126,0.33895,0.38772
Turkmenistan,,--,--,--,--,--,--,--,--,--,--,--,--,5.33944,4.8737,4.55631,4.5481,4.39339,4.62393,4.2195,4.41039,5.45975,6.69563,7.59219,9.66035,10.20169,10.28854,10.37147,10.93161,12.3852,10.60342,11.76143,10.97967
Ukraine,,--,--,--,--,--,--,--,--,--,--,--,--,10.27779,9.52755,8.00126,8.23001,7.19803,6.77895,6.63519,6.58142,6.62923,6.52971,6.75611,7.45343,7.28585,7.47726,7.06628,7.58011,7.44447,5.37271,6.11523,6.60547
Uzbekistan,,--,--,--,--,--,--,--,--,--,--,--,--,4.44009,4.35421,4.33077,4.5548,4.39881,4.30789,4.1823,4.17356,4.3019,4.43732,4.48886,4.46354,4.66036,4.41202,4.51878,4.53834,4.64871,3.88137,3.74337,4.16264
Middle East,,1,4.72628,4.7385,4.96234,5.01347,5.01661,5.19069,5.22668,5.31288,5.38465,5.328,5.6254,5.63377,5.67031,5.84679,5.81984,5.89507,6.09455,6.14505,6.23612,6.32364,6.3332,6.52646,6.76448,NA,NA,NA,7.62538,7.94232,8.31314,8.73105,9.01883
Bahrain,,22.32413,24.30667,24.78552,27.32272,23.48204,26.84912,27.87276,32.33466,26.79431,26.72243,28.25828,30.4861,25.23007,29.00055,27.90633,27.28942,26.59639,30.2377,31.07213,31.65008,30.94535,30.94128,30.56521,28.74084,27.28527,26.98869,27.67502,27.13854,27.00873,26.39861,25.98882,24.90224
Iran,,2.94242,2.6082,3.0929,3.46727,3.228,3.28975,3.27775,3.32846,3.33564,3.49279,3.47868,3.74858,3.76837,3.76891,3.95399,4.08492,4.03826,4.40197,4.40024,4.68397,4.68379,4.81045,5.19484,5.47564,5.71084,6.24019,6.52307,6.60452,6.82501,7.40551,7.3653,7.63198
Iraq,,3.90463,2.75576,2.59609,2.91722,2.82678,3.03232,3.45412,3.22163,3.52045,3.65617,3.81421,2.50056,3.22838,3.60876,4.05375,3.94048,3.81623,3.36015,3.37255,3.42343,3.24449,3.32904,3.31595,2.89987,3.09,3.63809,3.41451,3.61564,3.69104,3.88972,3.88587,3.94585
Israel,,4.60736,4.7893,4.92754,5.04521,4.98401,4.69776,4.86124,5.17572,5.45334,5.54054,5.48407,5.43561,6.03887,6.37978,6.45876,6.2436,6.05897,9.63559,9.713,9.66104,9.86616,10.73818,10.29516,9.95687,9.9953,10.17983,10.28807,10.0399,9.6652,9.2491,9.86317,9.95162
Jordan,,2.40762,2.73503,2.999,3.09606,3.09287,3.08124,3.31721,3.53364,3.17777,3.11396,3.11554,2.64606,2.89286,2.77678,3.10792,3.16461,3.32598,3.14268,3.31639,3.30435,3.3353,3.19111,3.26333,3.40628,3.5549,3.67574,3.57088,3.31178,3.14633,3.13038,3.22897,2.78919
Kuwait,,22.93207,16.47656,15.43204,16.28417,16.18054,14.81578,16.3695,17.9457,19.53922,21.03205,13.01624,45.14743,16.75923,20.63772,23.77432,24.02682,28.33142,29.31724,30.53329,29.4797,30.16774,28.33701,26.9905,29.64576,30.88977,33.70211,33.07964,31.36695,32.0972,33.04028,33.42396,38.70426
Lebanon,,2.22077,2.02488,1.95813,2.01664,1.89123,2.16471,2.15329,2.20293,1.96403,1.48185,1.3681,2.34276,2.30102,2.86545,3.25074,3.45479,3.58443,4.12448,4.08776,4.24621,4.33991,4.18863,4.17744,4.18794,4.06409,3.86312,3.47838,3.21909,3.62865,4.84112,4.58871,4.9792
Oman,,3.34043,3.3284,3.83693,4.20203,5.37348,4.92371,5.66515,5.54239,4.84142,6.01183,6.94143,7.6049,6.97548,7.32932,7.26357,6.61117,6.63875,7.94617,9.40991,8.65241,8.95919,8.92661,9.04596,8.66115,9.20656,11.18799,12.72317,13.22729,15.33029,15.8218,19.88517,17.72944
Palestinian Territories,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.14334,0.17155,0.17746,0.20198,0.39031,0.31656,0.34666,0.5992,0.73763,0.78136,0.76085,0.77027,0.50895,0.55193,0.61199
Qatar,,60.51452,58.25196,56.47691,45.52319,49.41013,40.3849,38.38987,37.53696,36.83313,36.77085,43.32445,49.7228,55.20107,62.47409,60.69358,59.46829,59.10393,59.6245,57.77175,52.30179,54.22421,41.0459,41.85824,44.1502,46.81256,56.50286,52.11684,46.99743,44.78303,43.61278,45.12001,44.06252
Saudi Arabia,,17.65425,16.44474,14.66666,13.91529,14.59618,13.44456,13.57921,13.07501,13.1456,12.56388,12.95233,13.88696,13.80153,13.20724,13.18135,12.54536,12.96198,12.87265,12.69999,12.67948,13.63273,13.82543,13.99049,15.26882,16.757,17.00039,16.71664,16.02927,16.92135,17.28009,19.68758,21.1004
Syria,,1.87722,1.93735,1.88575,2.08907,2.21281,2.24529,2.21384,2.46161,2.4482,2.56114,2.95402,2.5632,2.65763,2.82094,2.94407,2.76032,2.84669,2.91468,3.05077,3.1683,3.09595,2.92223,3.03088,2.98314,2.91089,2.72836,2.67423,2.57105,2.5515,2.8318,2.89043,2.80627
United Arab Emirates,,30.30305,32.81872,31.39769,35.31381,37.03026,43.49731,46.37507,46.54794,48.20239,47.58143,43.30211,48.84407,49.62636,43.85715,40.71913,41.06426,39.89342,40.80865,40.31033,38.7389,35.94647,34.06947,34.89723,34.18445,34.29017,34.34428,36.66381,38.72652,41.9659,43.51253,43.97017,44.41267
Yemen,,0.70454,0.69776,0.79734,0.70751,0.8682,0.9402,0.91923,0.88232,0.88241,0.90502,0.92152,0.91302,0.91516,0.72676,0.68779,0.71811,0.71192,0.6829,0.69815,0.73032,0.75706,0.7772,0.83024,0.87036,0.84379,0.8541,0.90515,0.91163,1.06593,0.96642,1.07321,0.83514
Africa,,1,1.09249,1.12821,1.14086,1.17216,1.16908,1.18169,1.17741,1.17413,1.1522,1.15901,1.16557,1.15612,1.14511,1.16603,1.15796,1.15404,1.15955,1.11759,1.11195,1.10292,1.11105,1.08664,1.11862,NA,NA,NA,1.14005,1.17927,1.14469,1.15098,1.11356
Algeria,,3.56155,2.8181,3.29884,3.45877,3.49823,3.22043,3.17464,3.30776,3.3706,3.2204,3.35601,3.33018,3.10328,3.02466,3.03298,3.12117,2.94219,2.73938,2.85049,2.79919,2.72951,2.54723,2.59117,2.55484,2.48013,2.7384,2.82632,2.97729,3.08858,3.23212,3.27667,3.33196
Angola,,0.47033,0.45626,0.47108,0.48714,0.41737,0.51101,0.53278,0.52724,0.53562,0.51185,0.75574,0.76825,0.74912,0.74342,0.69329,1.10439,1.07186,1.11045,1.02985,1.091,1.02762,1.15276,1.1709,1.36849,1.38495,1.35433,1.37667,1.51431,1.43364,1.47726,1.74925,1.69636
Benin,,0.12165,0.11678,0.07562,0.11116,0.10639,0.123,0.12084,0.0875,0.10627,0.11023,0.12485,0.13877,0.15269,0.15969,0.16065,0.17041,0.17785,0.18758,0.19611,0.2067,0.24931,0.2413,0.24738,0.28184,0.31886,0.32477,0.37436,0.398,0.3936,0.51271,0.55975,0.55894
Botswana,,1.38633,1.35659,1.23989,1.13731,1.11775,1.39013,1.46218,1.66178,1.71476,1.89527,2.14529,2.13412,2.37904,2.26937,2.21714,2.35215,2.01986,2.03659,2.31148,2.28098,2.60422,2.25251,2.18786,1.97448,2.25232,2.37121,2.348,2.17033,2.22102,2.17114,2.49386,2.26025
Burkina Faso,,0.0662,0.0646,0.06318,0.06197,0.06026,0.05618,0.0669,0.06827,0.06557,0.05859,0.05967,0.06656,0.0654,0.06867,0.07164,0.06915,0.06918,0.10218,0.09813,0.09505,0.09156,0.0892,0.08769,0.08736,0.08611,0.07553,0.087,0.09331,0.09072,0.10812,0.10672,0.10003
Burundi,,0.02282,0.02493,0.0214,0.02384,0.02919,0.02958,0.03,0.03049,0.04619,0.04941,0.05269,0.0584,0.05392,0.06168,0.06446,0.05852,0.05917,0.05931,0.05869,0.0568,0.05456,0.05621,0.05484,0.055,0.04855,0.04541,0.04256,0.0381,0.03887,0.02096,0.0202,0.01899
Cameroon,,0.25443,0.25322,0.28754,0.7529,0.71927,0.64675,0.89145,0.73799,0.31078,0.56628,0.2886,0.28369,0.28529,0.52504,0.57153,0.55395,0.48629,0.48302,0.47073,0.46243,0.44535,0.41183,0.38425,0.37124,0.38343,0.38784,0.41127,0.42832,0.40827,0.4401,0.44353,0.409
Cape Verde,,1.00969,0.99436,0.43731,0.42434,0.50713,0.49507,0.16528,0.17639,0.25038,0.26984,0.28359,0.28605,0.29936,0.2909,0.30884,0.29204,0.29792,0.29111,0.28477,0.27889,0.40601,0.31196,0.324,0.31817,0.64288,0.54091,0.6114,0.70894,0.65741,0.75672,0.74684,0.75074
Central African Republic,,0.05934,0.07519,0.0785,0.08222,0.07542,0.07365,0.07448,0.07888,0.08222,0.07576,0.07983,0.08155,0.082,0.08144,0.08369,0.08155,0.08089,0.08073,0.08046,0.07857,0.08156,0.08167,0.08328,0.08156,0.07569,0.07078,0.07299,0.07864,0.07324,0.07182,0.07039,0.06853
Chad,,0.06108,0.05826,0.05559,0.05291,0.02464,0.03026,0.05328,0.04401,0.02892,0.02902,0.05814,0.05343,0.05239,0.02564,0.02615,0.02502,0.02452,0.02425,0.02354,0.02284,0.02397,0.02366,0.0237,0.02286,0.02059,0.02208,0.02337,0.02702,0.02589,0.0246,0.02412,0.02392
Comoros,,0.12191,0.1189,0.11613,0.11338,0.11252,0.09284,0.09629,0.12538,0.13012,0.12718,0.16263,0.15179,0.14974,0.14636,0.14982,0.17245,0.16896,0.16499,0.16709,0.16298,0.17676,0.17791,0.1794,0.17459,0.17473,0.18026,0.17892,0.22011,0.17764,0.21877,0.1845,0.20742
Congo (Brazzaville),,0.43046,0.50578,0.41031,0.33094,0.3259,0.4706,0.40698,0.49124,0.37233,0.41123,0.50382,1.38167,1.33574,1.26289,1.21494,1.17139,1.12903,1.3221,1.27348,1.06529,0.97116,0.98804,0.89633,0.89922,0.87726,1.49375,1.46975,1.51847,1.52646,1.61068,1.76052,1.61088
Congo (Kinshasa),,0.11714,0.12044,0.12026,0.11597,0.10532,0.0996,0.11157,0.09757,0.11558,0.10401,0.09302,0.09494,0.10385,0.1053,0.07986,0.08204,0.08105,0.07687,0.07195,0.06262,0.05139,0.03681,0.03208,0.03192,0.04017,0.0405,0.03935,0.0429,0.04126,0.03872,0.04876,0.03942
Cote dIvoire (IvoryCoast),,0.46721,0.47633,0.42462,0.44193,0.41507,0.414,0.44834,0.48059,0.49061,0.47131,0.37201,0.29138,0.28762,0.31585,0.3169,0.30561,0.37492,0.33345,0.33711,0.42699,0.43606,0.3388,0.32813,0.32046,0.34299,0.33654,0.32456,0.3129,0.31653,0.31615,0.30767,0.3163
Djibouti,,4.46146,3.40203,3.30521,2.35839,1.93405,1.88003,1.8115,1.78499,1.71382,3.87891,3.4679,3.16986,3.2475,3.36573,3.3302,3.2772,3.19696,3.09713,2.95537,2.83931,2.76511,2.69925,2.61585,2.76355,2.94979,2.88358,2.47371,2.37311,2.40426,1.60049,1.5683,1.83873
Egypt,,0.95969,1.10684,1.19603,1.35895,1.44762,1.52111,1.59366,1.6049,1.58273,1.60602,1.67582,1.68685,1.65667,1.66185,1.69613,1.68369,1.81561,1.83489,1.84099,1.84406,1.84117,1.94193,1.96111,2.06054,2.15058,2.19164,2.04428,2.09202,2.3463,2.34602,2.31309,2.42959
Equatorial Guinea,,0.21675,0.20373,0.2431,0.23363,0.22168,0.2453,0.25455,0.23424,0.22369,0.32672,0.32646,0.33418,0.31212,2.63088,2.55849,2.48674,3.54686,3.54956,3.61283,3.85396,4.17839,4.05376,7.56066,9.1668,6.90531,8.62729,8.39972,7.71897,7.59362,8.53812,8.33987,7.66642
Eritrea,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.29209,0.29995,0.29853,0.2964,0.31543,0.26067,0.15278,0.17388,0.15874,0.17172,0.15544,0.14172,0.14275,0.13091,0.13248,0.09097,0.11869,0.07994
Ethiopia,,0.04717,0.04513,0.04789,0.05325,0.05275,0.06226,0.06147,0.06709,0.06169,0.06467,0.06332,0.04972,0.07109,0.06334,0.04059,0.04263,0.02985,0.02901,0.04301,0.05203,0.05372,0.05361,0.05703,0.05964,0.06015,0.06159,0.06737,0.07246,0.07918,0.08349,0.07498,0.08053
Gabon,,6.69846,6.82144,6.44547,6.13531,6.51805,6.41584,4.6563,4.39604,4.63363,6.21898,6.09281,5.96558,6.1396,5.86902,5.56478,5.13096,5.06107,4.99752,4.78961,4.51695,4.10318,3.9016,3.62082,3.6712,3.61099,3.46768,3.08049,3.04723,3.14421,2.81148,3.10618,3.39297
"Gambia, The",,0.23342,0.22645,0.22007,0.21387,0.22646,0.21326,0.19939,0.22141,0.21964,0.20732,0.20279,0.20346,0.19716,0.20111,0.21355,0.19175,0.18514,0.17914,0.18351,0.17822,0.19448,0.20304,0.20221,0.19904,0.19653,0.19709,0.20415,0.24696,0.22638,0.25889,0.27507,0.24185
Ghana,,0.20003,0.17154,0.19128,0.16019,0.17315,0.14054,0.16697,0.18788,0.21111,0.23701,0.19483,0.18757,0.20998,0.21004,0.22712,0.2301,0.23259,0.21356,0.21042,0.24023,0.28021,0.26727,0.27589,0.29415,0.31434,0.30956,0.30963,0.3069,0.32761,0.32475,0.38539,0.38359
Guinea,,0.18324,0.17617,0.17538,0.17326,0.16776,0.14082,0.19629,0.20288,0.202,0.19105,0.24258,0.17675,0.17386,0.17334,0.17262,0.16576,0.16186,0.15999,0.15841,0.1536,0.15619,0.15608,0.15547,0.15199,0.15054,0.15082,0.14687,0.14163,0.13726,0.14252,0.139,0.13507
Guinea-Bissau,,0.10548,0.10289,0.10183,0.09943,0.13237,0.14042,0.11107,0.20346,0.22244,0.22704,0.28331,0.28291,0.27996,0.28943,0.28694,0.27715,0.27457,0.266,0.26193,0.25603,0.27797,0.27453,0.27982,0.28122,0.27663,0.27988,0.27071,0.27462,0.30713,0.26594,0.26096,0.26212
Kenya,,0.35202,0.34071,0.32292,0.29133,0.27809,0.27766,0.30341,0.25908,0.27415,0.29029,0.28519,0.24152,0.26216,0.25904,0.26776,0.2698,0.27396,0.24841,0.27301,0.27455,0.2874,0.25681,0.25004,0.25555,0.27369,0.29142,0.3166,0.30371,0.29063,0.29592,0.31133,0.31335
Lesotho,,0.10741,0.09781,0.10255,0.09938,0.09657,0.09612,0.09845,0.09666,0.0627,0.09333,0.09171,0.09015,0.0918,0.0903,0.09864,0.09703,0.09614,0.09513,0.096,0.09544,0.11054,0.10989,0.10972,0.10964,0.11003,0.11798,0.12225,0.12438,0.1252,0.12244,0.28788,0.23298
