Locality,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Liberia,,1.01616,0.90719,0.88237,0.85736,0.74962,0.73097,0.57445,0.42835,0.47201,0.40192,0.27024,0.18763,0.18364,0.19613,0.19976,0.2014,0.20637,0.19161,0.17642,0.16611,0.16973,0.17453,0.18268,0.18747,0.18915,0.18323,0.19646,0.20798,0.20077,0.15413,0.14589,0.15684
Libya,,10.60079,8.33956,8.33022,7.90029,7.26163,7.56265,8.18078,8.18971,8.97021,9.36634,10.33372,9.89609,8.48277,8.35427,8.4438,8.63441,9.05224,9.30925,8.72534,8.08083,8.33685,8.45912,9.22299,8.6661,9.5857,10.13201,9.20686,9.27403,9.63362,9.66296,11.09051,7.05446
Madagascar,,0.13443,0.11308,0.09552,0.12098,0.11658,0.12332,0.08819,0.1192,0.12715,0.08726,0.08238,0.08207,0.08673,0.08666,0.0944,0.09442,0.09207,0.09024,0.08766,0.08447,0.11525,0.12259,0.13819,0.13898,0.14914,0.1392,0.13399,0.13058,0.14263,0.09166,0.09033,0.08592
Malawi,,0.092,0.09494,0.08249,0.06386,0.05911,0.06192,0.06254,0.05442,0.04767,0.05456,0.05601,0.06575,0.06419,0.06122,0.06861,0.07135,0.07062,0.06859,0.06628,0.07293,0.07482,0.0706,0.07354,0.0711,0.07906,0.08105,0.08289,0.08142,0.08164,0.06391,0.0632,0.06223
Mali,,0.06086,0.07979,0.05847,0.05689,0.05587,0.06015,0.04674,0.05365,0.0259,0.05659,0.05515,0.05579,0.05588,0.05637,0.05608,0.05508,0.05537,0.05488,0.05411,0.05257,0.05254,0.05101,0.05424,0.05318,0.05344,0.05744,0.05056,0.05044,0.05103,0.04931,0.04793,0.04948
Mauritania,,0.39338,0.3694,0.36307,0.35257,0.51807,0.50079,0.29203,0.39578,0.47982,0.56504,0.4966,0.51091,1.62201,1.61622,1.55611,1.39929,1.52751,1.36737,1.33904,1.30356,1.29699,1.23801,1.16176,1.16737,0.95126,1.11419,0.97383,0.91048,0.90263,0.60474,0.59106,0.49011
Mauritius,,0.88639,0.78439,0.74417,0.84291,0.86063,0.87137,1.20063,0.96914,1.37128,1.61863,1.81005,1.76903,1.96675,2.08905,2.01379,2.16414,2.12692,2.10194,2.21648,2.27941,2.94258,3.38313,2.97723,3.04009,3.20482,3.29546,3.56662,3.79782,3.95176,3.48663,3.92352,3.73607
Morocco,,0.84319,0.81062,0.82986,0.84099,0.78541,0.805,0.90017,0.86485,0.87571,0.92402,0.94311,0.95934,0.95454,1.04694,1.12659,1.06936,1.0837,1.0536,1.05263,1.11776,1.10975,1.18522,1.16829,1.17967,1.12354,1.18369,1.21212,1.21786,1.204,1.34204,1.50714,1.34254
Mozambique,,0.21659,0.189,0.19663,0.1809,0.15651,0.16291,0.09323,0.08912,0.13016,0.1034,0.09145,0.09025,0.08881,0.08509,0.07563,0.07706,0.0654,0.06581,0.073,0.07372,0.07109,0.08149,0.0892,0.0945,0.10623,0.11183,0.11115,0.11968,0.11091,0.1157,0.11379,0.15484
Namibia,,--,--,--,--,--,--,--,--,--,--,1.61551,0.83719,0.73849,0.95541,0.91217,0.78432,0.79996,0.81764,0.85871,0.9312,0.95541,1.12307,1.13219,1.22809,1.27962,1.29249,1.42415,1.50082,1.57773,1.56685,1.47175,1.51752
Niger,,0.10015,0.10178,0.10583,0.11516,0.12017,0.11785,0.09775,0.10744,0.13769,0.14066,0.13966,0.13666,0.13536,0.13342,0.13157,0.12728,0.12211,0.11632,0.11261,0.10918,0.10488,0.1036,0.10715,0.10596,0.11074,0.09866,0.09197,0.09161,0.09081,0.08189,0.08662,0.0828
Nigeria,,0.92396,0.76228,0.70658,0.68452,0.71019,0.71856,0.68767,0.67859,0.69472,0.81356,0.85304,0.89326,0.92421,0.9254,0.89014,0.91188,0.90369,0.79763,0.75085,0.70025,0.65014,0.71804,0.69489,0.68999,0.668,0.74724,0.69734,0.66336,0.64627,0.50139,0.49117,0.50132
Reunion,,1.177,1.16306,1.24721,1.42514,1.54734,1.477,1.42759,1.5616,1.85436,1.98535,2.05146,2.35221,2.25904,2.93007,2.92855,2.84296,2.79996,2.76184,3.47891,3.41505,3.50403,3.59006,3.51408,3.45992,3.47919,3.53629,3.51346,3.52371,3.52026,3.60453,3.55357,3.38508
Rwanda,,0.02966,0.06618,0.06147,0.06862,0.10867,0.11153,0.10411,0.10256,0.0943,0.09954,0.10041,0.0997,0.10103,0.08995,0.10703,0.12893,0.10776,0.09168,0.0905,0.08851,0.09124,0.08974,0.08765,0.08636,0.08156,0.08449,0.08439,0.07323,0.06939,0.07118,0.0689,0.07058
Saint Helena,,NA,0.42116,0.41723,0.41049,0.37126,0.36142,0.37906,0.96577,0.95932,0.95267,0.94447,0.46805,0.46889,0.93183,0.92453,0.91563,0.90818,0.90072,0.8921,0.88502,3.07607,1.74379,1.73279,1.71947,1.28195,1.69809,1.56341,1.68584,1.78266,1.25305,1.24919,1.96081
Sao Tome and Principe,,0.34123,0.33242,0.32655,0.32017,0.31435,0.31799,0.32564,0.31889,0.31224,0.30569,0.5975,0.61586,0.6362,0.62627,0.64145,0.62467,0.61806,0.60103,0.58879,0.57654,0.65472,0.64017,0.64751,0.63286,0.61902,0.6249,0.66965,0.81081,0.80296,0.77554,0.76859,0.75332
Senegal,,0.44337,0.4186,0.41656,0.38806,0.45,0.43185,0.4392,0.43657,0.36436,0.3663,0.34842,0.31196,0.37586,0.3681,0.43785,0.46023,0.45797,0.40617,0.41886,0.4517,0.46773,0.45388,0.44703,0.43919,0.50412,0.52826,0.53168,0.52992,0.52006,0.49048,0.51559,0.49229
Seychelles,,3.28924,2.61999,2.37355,4.11096,4.26397,4.30636,4.66479,4.91586,6.69181,7.01974,6.39802,6.80875,6.96873,7.06375,7.07,7.03514,6.96159,7.39781,7.32371,7.23345,7.42363,7.5276,10.88764,10.59745,10.82717,10.51045,14.13276,11.44081,11.86443,13.3957,11.97892,13.94174
Sierra Leone,,0.21319,0.20875,0.22417,0.20155,0.19668,0.21585,0.23967,0.25165,0.25888,0.25982,0.25206,0.25709,0.19087,0.20042,0.17103,0.21756,0.22157,0.22954,0.23159,0.23222,0.2411,0.23196,0.2225,0.21833,0.25166,0.24598,0.23773,0.25323,0.25095,0.27254,0.12534,0.26772
Somalia,,0.19304,0.2219,0.21747,0.20631,0.20686,0.19615,0.21465,0.15404,0.15514,0.16282,0.15064,0.0926,0.09244,0.09561,0.09312,0.09106,0.08887,0.0863,0.08331,0.08043,0.09656,0.09301,0.09029,0.08748,0.08502,0.08348,0.0847,0.09328,0.09176,0.08464,0.08573,0.07648
South Africa,,8.03463,8.44244,8.76484,8.60453,8.93468,8.81782,8.79536,8.76927,8.68472,7.91698,7.74443,7.89762,7.98665,7.79151,8.33319,8.22835,8.23192,8.8527,8.31019,8.45896,8.5659,8.61684,8.24657,8.86331,9.40188,9.1066,9.27242,9.44902,10.04392,9.73566,9.7496,9.62198
Sudan and South Sudan,,0.16262,0.16034,0.16863,0.15654,0.1402,0.15339,0.18431,0.1737,0.18298,0.16893,0.14926,0.20921,0.18742,0.17338,0.14913,0.13467,0.13048,0.13186,0.12979,0.13682,0.19516,0.21861,0.24768,0.27393,0.29361,0.3042,0.32254,0.30482,0.30016,0.43706,0.38222,0.44404
Swaziland,,1.19347,1.08449,1.05363,0.78896,0.84494,1.00809,0.9493,0.94289,0.91014,0.89911,0.8604,0.7661,0.67547,0.58678,0.94593,0.90985,0.79706,0.93408,0.90949,0.90334,0.84974,0.83749,0.7801,0.72562,0.70528,0.59267,0.71891,0.80723,0.7831,0.73351,0.72455,0.71053
Tanzania,,0.10279,0.11544,0.11024,0.09455,0.10061,0.09898,0.12151,0.10538,0.10803,0.10443,0.11314,0.09132,0.0982,0.10226,0.08985,0.08478,0.0842,0.08075,0.08038,0.08382,0.08209,0.09013,0.09945,0.10115,0.11237,0.12846,0.1337,0.13985,0.14332,0.15251,0.14583,0.15592
Togo,,0.2218,0.19832,0.18519,0.19437,0.22109,0.20032,0.1672,0.14732,0.15003,0.16452,0.15695,0.26692,0.18213,0.13753,0.15745,0.14852,0.14335,0.14342,0.13903,0.20687,0.28069,0.19567,0.24482,0.39663,0.40612,0.39732,0.3975,0.42244,0.44129,0.20756,0.36032,0.21431
Tunisia,,1.3161,1.41282,1.29794,1.46037,1.48895,1.47041,1.58093,1.41023,1.49979,1.62164,1.59048,1.55216,1.50317,1.74409,1.8238,1.60928,1.69545,1.88482,1.99009,2.02956,2.06829,2.22969,2.17981,2.121,2.13001,2.22602,2.10433,1.84808,1.7706,1.80339,1.8227,1.89299
Uganda,,0.05843,0.03622,0.04199,0.03976,0.03966,0.04129,0.04705,0.03802,0.05544,0.04947,0.051,0.05461,0.05447,0.05442,0.05382,0.05225,0.05051,0.05049,0.05689,0.05502,0.05517,0.05899,0.05995,0.06319,0.06175,0.06266,0.0689,0.07102,0.06641,0.10741,0.1078,0.10447
Western Sahara,,1.26561,1.13064,1.13383,1.02274,1.01991,1.00336,1.05584,1.04887,1.02558,0.98732,0.99442,0.95752,0.94527,0.88475,0.85272,0.87614,0.83247,0.79202,0.75444,0.71961,0.79195,0.76632,0.73361,0.70291,0.67435,0.73385,0.62628,0.6364,0.68297,0.56617,0.54859,0.53228
Zambia,,0.6552,0.56452,0.57383,0.49396,0.47431,0.43829,0.45553,0.42558,0.45442,0.40227,0.35846,0.31222,0.37027,0.29483,0.2302,0.22153,0.24611,0.25923,0.23569,0.20204,0.18997,0.20001,0.20192,0.20633,0.20166,0.21469,0.1978,0.18744,0.18235,0.15408,0.15316,0.19142
Zimbabwe,,1.11141,1.04092,1.01325,1.01103,1.00477,1.12417,1.27631,1.60002,1.46604,1.48996,1.58556,1.65587,1.63717,1.44763,1.38461,1.3338,1.30981,1.22458,1.21016,1.31426,1.16073,1.10779,1.05593,0.95047,0.83935,0.9227,0.87135,0.85155,0.68809,0.71106,0.75351,0.79129
Asia & Oceania,,1,1.42715,1.4247,1.44444,1.53964,1.58104,1.6026,1.64972,1.7378,1.75903,1.78049,1.82791,1.86126,1.91848,2.00613,2.07999,2.12255,2.114,2.07294,2.12267,2.20875,2.22147,2.28011,2.44597,NA,NA,NA,3.06226,3.12814,3.31068,3.52026,3.7271
Afghanistan,,0.09047,0.11441,0.13507,0.16929,0.16665,0.16573,0.18271,0.30215,0.49678,0.47537,0.2348,0.21629,0.11254,0.09577,0.08551,0.06874,0.06663,0.06164,0.05774,0.05568,0.05107,0.03762,0.03592,0.02714,0.02811,0.02922,0.02821,0.04797,0.05745,0.22502,0.2793,0.27
American Samoa,,12.41039,13.72407,18.3634,11.16748,12.42532,11.17646,12.00876,11.74253,11.1283,12.24154,12.23543,11.88886,11.99043,11.59433,10.99482,10.52554,10.49673,10.30679,10.13121,9.97061,9.76476,9.79187,9.99495,10.03148,10.04747,10.68372,10.63652,11.63413,11.8549,10.80834,10.87521,8.16395
Australia,,13.60402,13.7113,13.71581,14.22064,15.17834,15.14488,14.75114,15.55015,15.01342,15.67751,15.78187,15.59811,15.77986,16.08867,15.83828,16.08096,16.61438,17.99025,18.12212,18.87061,18.70087,19.1797,19.17538,18.96317,19.52868,20.22402,20.26903,20.53544,20.45073,20.44697,20.03604,19.59209
Bangladesh,,0.08685,0.08835,0.09281,0.08256,0.09313,0.09611,0.1072,0.11528,0.12321,0.13195,0.13301,0.13002,0.14258,0.14923,0.16221,0.18573,0.1833,0.1893,0.18917,0.20746,0.22216,0.24183,0.25051,0.26575,0.27762,0.28905,0.30981,0.32281,0.33973,0.36395,0.34648,0.37338
Bhutan,,0.01225,0.0563,0.06759,0.06014,0.05113,0.06304,0.05822,0.1393,0.13839,0.12985,0.20325,0.19947,0.21841,0.22415,0.35468,0.42294,0.46099,0.47009,0.46433,0.48544,0.48261,0.44637,0.48324,0.40463,0.2777,0.38027,0.35669,0.42868,0.41606,0.47983,0.50051,0.50312
Brunei,,28.26641,28.90296,29.34552,23.73595,20.98924,22.94906,15.39975,22.35027,19.37898,21.35825,19.04988,8.80222,11.82711,10.78125,10.35344,12.23723,11.75744,12.09642,10.52507,11.54388,11.66401,12.69164,14.28581,14.91809,16.32399,18.79595,27.3658,27.68499,27.83732,18.73652,21.40295,21.6616
Burma (Myanmar),,0.12037,0.12115,0.13117,0.1484,0.15855,0.16271,0.13058,0.12588,0.11717,0.12016,0.11517,0.11137,0.11041,0.11408,0.13474,0.1399,0.13996,0.15186,0.17552,0.19122,0.21216,0.20655,0.22346,0.25672,0.2549,0.32172,0.29362,0.30961,0.28414,0.22534,0.22312,0.22986
Cambodia,,0.00595,0.00578,0.00561,0.0475,0.05186,0.05267,0.05535,0.05374,0.05378,0.05174,0.04992,0.04948,0.04924,0.04688,0.04657,0.12528,0.1347,0.15876,0.17711,0.17555,0.1742,0.20241,0.21588,0.23296,0.25568,0.26811,0.28588,0.30654,0.29947,0.28731,0.2841,0.31359
China,,1.47092,1.44417,1.48826,1.54952,1.65398,1.75612,1.83409,1.92285,2.01311,2.01246,1.97576,2.0362,2.07967,2.15441,2.28776,2.34448,2.44794,2.35696,2.33768,2.33498,2.50493,2.53908,2.67854,3.08336,3.56078,3.94243,4.2746,4.50824,4.68205,5.1497,5.55467,6.07959
Cook Islands,,1.56135,3.17579,3.16167,3.174,3.12349,3.16641,3.04562,3.04075,3.00017,2.61088,2.57584,2.07189,2.57521,2.58443,2.59543,2.60145,2.62651,2.67178,2.74668,2.83172,3.51322,3.64324,3.78227,3.92275,4.51867,5.14893,5.68763,5.52439,7.38245,6.15803,6.37202,6.69777
Fiji,,2.05772,1.36781,1.55058,1.51582,1.10212,1.11115,1.40772,1.08256,1.1217,1.31351,1.42039,1.14927,1.1888,1.25749,1.31176,1.38897,1.42974,1.41052,1.3479,1.48083,1.7813,1.88166,2.15902,2.77913,3.18029,3.02026,2.68964,2.92241,2.72408,1.5656,1.52119,1.55341
French Polynesia,,1.39765,1.99838,2.60211,3.35575,4.92659,4.14819,5.30717,5.32377,5.14347,4.98061,4.61506,4.48578,4.22787,4.06356,3.23835,3.29149,3.24552,3.19364,3.13602,3.08022,2.86821,2.81777,2.84518,3.47385,3.42018,3.63058,3.98677,3.88369,3.7741,3.99923,4.08318,3.941
Guam,,33.15957,45.82507,35.15818,32.16252,10.8187,5.23094,8.95101,6.0881,6.2487,5.66313,13.68619,15.0308,17.66262,23.30249,33.26229,25.01748,22.12064,24.93811,20.37489,22.42519,18.48575,19.54157,13.34609,15.43778,12.4183,13.02782,14.23714,12.89324,11.14237,6.71928,16.71135,12.72494
Hawaiian Trade Zone,,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hong Kong,,3.58876,3.63204,4.06033,4.66759,4.93198,5.1923,5.81715,6.46619,7.08647,7.31481,7.04207,7.39809,7.74173,8.12521,7.45473,7.61077,7.5748,7.06948,7.89293,9.35244,8.36732,8.97485,9.76183,10.27991,11.38846,11.66408,11.54076,12.05147,11.23913,12.69415,14.03313,13.23984
India,,0.42522,0.48312,0.49004,0.50431,0.56707,0.58896,0.61123,0.61543,0.64768,0.67315,0.69034,0.72722,0.75838,0.77976,0.81975,0.95543,0.8685,0.89641,0.91906,0.96165,0.98477,0.99319,0.96857,0.96707,1.04371,1.08288,1.15617,1.21517,1.27041,1.42012,1.46185,1.47386
Indonesia,,0.56866,0.59677,0.588,0.58741,0.5994,0.60794,0.64887,0.6776,0.71229,0.7822,0.85554,0.91636,0.95614,1.04235,1.0764,1.0824,1.1814,1.20158,1.15359,1.25152,1.24549,1.25123,1.30503,1.30293,1.38146,1.42266,1.50743,1.58215,1.55582,1.6854,1.77097,1.8291
Japan,,8.10749,8.03248,7.59607,7.27035,7.79555,7.67051,7.22291,7.29294,7.82761,8.03662,8.47503,8.60277,8.63068,8.53261,8.94412,8.90662,9.03505,9.194,8.81764,9.14039,9.47682,9.3911,9.42084,9.79771,9.83808,9.71897,9.7061,9.81726,9.51775,8.65213,9.22789,9.41612
Kiribati,,0.38845,0.45359,0.44751,0.44363,0.3189,0.31467,0.29653,0.33634,0.32693,0.3179,0.30942,0.35948,0.30261,0.29838,0.29467,0.29096,0.28575,0.27932,0.27304,0.26709,0.29887,0.29323,0.35926,0.3534,0.34854,0.41118,0.40455,0.43339,0.45107,0.63513,0.62755,0.58014
"Korea, North",,6.35479,6.47515,6.6997,6.8946,6.99004,7.19238,7.04782,6.63698,8.15401,6.41943,6.07171,5.81926,4.9932,4.53036,4.1428,3.75821,3.2075,2.95634,2.6589,2.89823,3.03558,3.07739,2.93598,2.98309,3.03322,3.14334,3.16823,2.61806,2.87713,2.73884,2.65683,2.72142
"Korea, South",,3.45545,3.56131,3.53324,3.72061,4.04932,4.22301,4.37471,4.46135,4.94412,5.17107,5.6468,6.22642,6.68818,7.46566,7.86268,8.45498,8.74334,9.32036,8.2474,9.1129,9.36818,9.58139,9.86366,10.07422,10.16627,10.28641,10.06181,10.4269,10.78497,10.81118,12.00792,13.34138
Laos,,0.12598,0.04944,0.04443,0.04686,0.04248,0.04691,0.05485,0.0531,0.05093,0.05507,0.05333,0.05643,0.06009,0.05833,0.06109,0.0743,0.09016,0.11301,0.13605,0.15958,0.15662,0.13753,0.16951,0.16196,0.20124,0.20323,0.21192,0.22045,0.23078,0.23224,0.23956,0.23658
Macau,,1.83312,1.68714,1.731,2.31463,2.43504,1.91808,2.89421,3.1006,2.99323,3.11303,3.1,2.98054,3.01466,3.25363,3.38145,3.20505,3.5976,3.60289,3.85238,4.04996,3.65471,3.81835,4.18538,4.28306,5.10626,4.18169,4.61129,4.38031,4.38714,3.21006,2.35797,2.84493
Malaysia,,1.95617,1.98134,2.02504,2.42397,2.75093,2.8452,3.04332,2.78319,2.76311,3.00909,3.64618,3.6519,3.86344,3.99508,4.34913,4.40021,4.87809,4.77363,4.67694,4.74596,5.11658,5.28208,5.74903,5.65837,5.66919,5.68789,5.69007,6.05596,6.2621,6.3028,6.86246,6.81207
Maldives,,0.09197,0.08827,0.08549,0.08343,0.32678,0.35223,0.44369,0.42616,0.44098,0.42372,0.45086,0.42981,0.42813,0.50237,0.95715,1.31973,1.3166,1.14151,1.20967,1.16694,1.61074,1.69378,3.04632,3.35326,2.29682,1.79035,2.37419,2.55483,2.30179,2.67906,2.68501,2.72123
Mongolia,,4.27279,3.71411,4.2832,4.31966,4.27515,4.64299,4.97761,5.09671,5.12854,4.66198,4.32201,5.04847,4.26335,3.78545,3.46338,3.58437,2.62686,2.1565,2.1238,2.08099,2.10861,2.12087,2.23195,2.09461,2.19235,2.18092,2.33408,2.4201,2.39834,2.52165,2.66576,2.67677
Nauru,,16.36965,16.23281,15.94047,15.64502,15.86505,15.35869,17.0797,16.70073,16.34396,16.00323,16.36488,16.06518,16.29758,16.30256,16.3009,16.63374,16.61546,16.55047,16.51998,16.53838,16.55005,16.50152,17.11376,17.0945,17.35179,17.59037,18.08468,19.36039,20.29251,19.69883,19.59413,18.09475
Nepal,,0.0325,0.02538,0.03436,0.03367,0.04191,0.03292,0.04076,0.04693,0.04523,0.04396,0.03327,0.04777,0.05546,0.05032,0.06177,0.06382,0.07405,0.08328,0.11801,0.13101,0.12484,0.1282,0.10289,0.1064,0.10447,0.11894,0.10174,0.1048,0.10463,0.11474,0.12269,0.12784
New Caledonia,,12.33995,11.4482,7.95117,7.26467,8.22358,8.40517,8.84764,9.36625,8.89956,9.85963,9.2544,9.81939,9.96434,9.7064,9.18582,8.97469,9.32166,8.39093,8.35939,8.09812,9.46623,9.34127,10.44817,10.63931,11.16921,10.68809,12.52749,11.99487,12.06302,11.88937,12.15283,12.40068
New Zealand,,6.32152,6.14621,6.43271,6.56441,6.90832,6.94203,7.49544,7.47929,8.2186,8.14782,8.42508,8.36145,8.56904,8.48761,8.80202,8.43516,8.29174,9.00999,8.70901,9.42201,9.4256,9.95347,9.61615,9.99812,9.99504,10.05217,9.80847,9.56596,9.76039,8.88121,8.81345,8.77684
Niue,,1.405,1.405,1.405,1.405,1.405,1.435,1.575,1.575,1.575,1.575,1.575,1.575,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.5,1.49296,1.47907,1.47222,2.08586,2.6281,3.05889,3.56721,2.466,2.46699,2.51958
Pakistan,,0.39515,0.39968,0.45077,0.42909,0.42753,0.45658,0.48259,0.51603,0.5197,0.53792,0.56376,0.55697,0.56152,0.60984,0.64981,0.6535,0.69047,0.67725,0.67208,0.71168,0.70951,0.65785,0.64023,0.64079,0.65609,0.68236,0.74176,0.77971,0.76375,0.7651,0.77658,0.7578
Papua New Guinea,,0.60403,0.58798,0.57347,0.55915,0.61993,0.63637,0.6904,0.74574,0.68013,0.67767,0.6693,0.64561,0.66253,0.65232,0.60725,0.62083,0.61774,0.60201,0.565,0.54985,0.54014,0.52651,0.72868,0.82275,0.81143,0.77872,0.77262,0.75924,0.78207,0.54448,0.5418,0.5458
Philippines,,0.66478,0.6155,0.59561,0.56435,0.5074,0.46958,0.48529,0.55686,0.57439,0.62995,0.63593,0.62639,0.67802,0.72973,0.74937,0.79652,0.81111,0.86441,0.86026,0.873,0.87265,0.86303,0.85073,0.85269,0.85817,0.84371,0.81509,0.78406,0.77472,0.70789,0.7825,0.81766
Samoa,,0.58412,0.61789,0.66998,0.67031,0.87306,0.68976,0.72386,0.7228,0.72111,0.75773,0.79289,0.78874,0.81081,0.80448,0.76026,0.80942,0.80227,0.7952,0.78803,0.78149,0.81125,0.80406,0.83225,0.8243,0.8515,0.89517,0.86963,0.88249,0.93349,0.88177,0.88037,0.83627
Singapore,,12.18522,12.18397,12.32574,12.08007,12.55531,12.16096,15.03407,16.47079,17.0798,18.03828,18.94677,19.43112,20.94432,22.59889,23.66788,23.26441,26.84837,26.59387,27.02389,26.45427,26.49164,26.85226,25.75411,25.6595,28.09945,28.98985,29.65234,30.76566,31.485,38.2014,37.16747,39.15579
Solomon Islands,,0.42328,0.58353,0.50958,0.54635,0.53293,0.4481,0.46856,0.51769,0.53862,0.54929,0.54149,0.52439,0.50398,0.47949,0.45629,0.45759,0.44399,0.43103,0.41858,0.40679,0.41021,0.39901,0.40218,0.39156,0.3946,0.42295,0.38117,0.40935,0.43042,0.35459,0.38731,0.38413
Sri Lanka,,0.32403,0.31895,0.32661,0.33102,0.36435,0.30344,0.32484,0.3657,0.31719,0.28757,0.31199,0.31065,0.32749,0.3637,0.37703,0.39741,0.44229,0.48694,0.48416,0.52095,0.59496,0.5752,0.58263,0.59484,0.59426,0.64102,0.62729,0.63653,0.60101,0.61666,0.61535,0.6781
Taiwan,,3.95763,3.51946,3.42188,3.76958,4.27279,4.21949,4.52782,4.63938,5.31718,5.80294,5.83437,6.09551,6.35281,7.20963,7.68525,8.56858,9.19079,9.66888,10.24116,10.23206,11.54528,11.09328,12.15481,12.81006,12.59397,12.70785,13.01986,12.81645,12.63248,11.25324,12.66426,13.43491
Thailand,,0.71372,0.71756,0.67878,0.71538,0.78056,0.8678,0.87313,0.97369,1.09894,1.28502,1.52053,1.66113,1.77786,1.99595,2.20087,2.46468,2.85687,2.93417,2.6725,2.79077,2.61294,2.7579,2.97579,3.24793,3.53476,3.76393,3.66774,3.79122,3.89259,4.06256,4.3305,4.39692
Timor-Leste (East Timor),,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.30083,0.31159,0.31002,0.30843,0.33158,0.33906,0.17963,0.17557,0.29241
Tonga,,0.31708,0.46421,0.43122,0.45878,0.45825,0.47341,0.49825,0.72755,0.84731,0.91091,0.90847,1.01188,1.03742,1.06739,1.19492,1.1909,1.31806,1.34406,1.30179,1.29271,1.31586,1.24459,1.12792,1.12039,1.20649,1.41506,1.7438,1.78523,1.9217,1.76526,1.76215,1.72086
U.S. Pacific Islands,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vanuatu,,0.99862,0.84959,0.82907,0.78118,0.78415,0.82498,0.89972,0.83775,0.96033,0.82674,0.8484,0.60998,0.40366,0.39462,0.38617,0.37784,0.37019,0.36292,0.35601,0.34952,0.44018,0.42853,0.44897,0.43738,0.44232,0.45945,0.43393,0.48738,0.5003,0.52038,0.51433,0.59761
Vietnam,,0.30519,0.29457,0.3133,0.30963,0.30386,0.33684,0.29823,0.32795,0.2816,0.29721,0.28791,0.29082,0.2804,0.37439,0.3795,0.45609,0.5409,0.51291,0.5375,0.56196,0.59682,0.6246,0.69365,0.73289,0.84105,0.9449,1.00743,1.06603,1.1964,1.23977,1.54121,1.49186
Wake Island,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
World,,1,4.01494,3.92281,3.88677,4.00387,4.0267,4.03974,4.08104,4.14382,4.13294,4.08885,4.00711,3.92501,3.89443,3.8679,3.88827,3.92312,3.89642,3.85015,3.86921,3.94678,3.91241,3.93589,4.06372,NA,NA,NA,4.41346,4.41809,4.33641,4.53794,4.63171